name,type_1,type_2,height,weight,hp,attack,defense,special-attack,special-defense,speed
bulbasaur,grass,poison,7,69,45,49,49,65,65,45
ivysaur,grass,poison,10,130,60,62,63,80,80,60
venusaur,grass,poison,20,1000,80,82,83,100,100,80
charmander,fire,None,6,85,39,52,43,60,50,65
charmeleon,fire,None,11,190,58,64,58,80,65,80
charizard,fire,flying,17,905,78,84,78,109,85,100
squirtle,water,None,5,90,44,48,65,50,64,43
wartortle,water,None,10,225,59,63,80,65,80,58
blastoise,water,None,16,855,79,83,100,85,105,78
caterpie,bug,None,3,29,45,30,35,20,20,45
metapod,bug,None,7,99,50,20,55,25,25,30
butterfree,bug,flying,11,320,60,45,50,90,80,70
weedle,bug,poison,3,32,40,35,30,20,20,50
kakuna,bug,poison,6,100,45,25,50,25,25,35
beedrill,bug,poison,10,295,65,90,40,45,80,75
pidgey,normal,flying,3,18,40,45,40,35,35,56
pidgeotto,normal,flying,11,300,63,60,55,50,50,71
pidgeot,normal,flying,15,395,83,80,75,70,70,101
rattata,normal,None,3,35,30,56,35,25,35,72
raticate,normal,None,7,185,55,81,60,50,70,97
spearow,normal,flying,3,20,40,60,30,31,31,70
fearow,normal,flying,12,380,65,90,65,61,61,100
ekans,poison,None,20,69,35,60,44,40,54,55
arbok,poison,None,35,650,60,95,69,65,79,80
pikachu,electric,None,4,60,35,55,40,50,50,90
raichu,electric,None,8,300,60,90,55,90,80,110
sandshrew,ground,None,6,120,50,75,85,20,30,40
sandslash,ground,None,10,295,75,100,110,45,55,65
nidoran-f,poison,None,4,70,55,47,52,40,40,41
nidorina,poison,None,8,200,70,62,67,55,55,56
nidoqueen,poison,ground,13,600,90,92,87,75,85,76
nidoran-m,poison,None,5,90,46,57,40,40,40,50
nidorino,poison,None,9,195,61,72,57,55,55,65
nidoking,poison,ground,14,620,81,102,77,85,75,85
clefairy,fairy,None,6,75,70,45,48,60,65,35
clefable,fairy,None,13,400,95,70,73,95,90,60
vulpix,fire,None,6,99,38,41,40,50,65,65
ninetales,fire,None,11,199,73,76,75,81,100,100
jigglypuff,normal,fairy,5,55,115,45,20,45,25,20
wigglytuff,normal,fairy,10,120,140,70,45,85,50,45
zubat,poison,flying,8,75,40,45,35,30,40,55
golbat,poison,flying,16,550,75,80,70,65,75,90
oddish,grass,poison,5,54,45,50,55,75,65,30
gloom,grass,poison,8,86,60,65,70,85,75,40
vileplume,grass,poison,12,186,75,80,85,110,90,50
paras,bug,grass,3,54,35,70,55,45,55,25
parasect,bug,grass,10,295,60,95,80,60,80,30
venonat,bug,poison,10,300,60,55,50,40,55,45
venomoth,bug,poison,15,125,70,65,60,90,75,90
diglett,ground,None,2,8,10,55,25,35,45,95
dugtrio,ground,None,7,333,35,100,50,50,70,120
meowth,normal,None,4,42,40,45,35,40,40,90
persian,normal,None,10,320,65,70,60,65,65,115
psyduck,water,None,8,196,50,52,48,65,50,55
golduck,water,None,17,766,80,82,78,95,80,85
mankey,fighting,None,5,280,40,80,35,35,45,70
primeape,fighting,None,10,320,65,105,60,60,70,95
growlithe,fire,None,7,190,55,70,45,70,50,60
arcanine,fire,None,19,1550,90,110,80,100,80,95
poliwag,water,None,6,124,40,50,40,40,40,90
poliwhirl,water,None,10,200,65,65,65,50,50,90
poliwrath,water,fighting,13,540,90,95,95,70,90,70
abra,psychic,None,9,195,25,20,15,105,55,90
kadabra,psychic,None,13,565,40,35,30,120,70,105
alakazam,psychic,None,15,480,55,50,45,135,95,120
machop,fighting,None,8,195,70,80,50,35,35,35
machoke,fighting,None,15,705,80,100,70,50,60,45
machamp,fighting,None,16,1300,90,130,80,65,85,55
bellsprout,grass,poison,7,40,50,75,35,70,30,40
weepinbell,grass,poison,10,64,65,90,50,85,45,55
victreebel,grass,poison,17,155,80,105,65,100,70,70
tentacool,water,poison,9,455,40,40,35,50,100,70
tentacruel,water,poison,16,550,80,70,65,80,120,100
geodude,rock,ground,4,200,40,80,100,30,30,20
graveler,rock,ground,10,1050,55,95,115,45,45,35
golem,rock,ground,14,3000,80,120,130,55,65,45
